bin_centers	PDF
0.6336829345803838	1
0.6345079187695328	0
0.6353329029586818	0
0.6361578871478308	1
0.63698287133698	0
0.637807855526129	0
0.638632839715278	0
0.639457823904427	0
0.640282808093576	1
0.641107792282725	0
0.6419327764718741	0
0.6427577606610231	0
0.6435827448501721	0
0.6444077290393211	0
0.6452327132284701	0
0.6460576974176191	4
0.6468826816067681	0
0.6477076657959171	3
0.6485326499850662	4
0.6493576341742152	4
0.6501826183633642	10
0.6510076025525132	2
0.6518325867416622	6
0.6526575709308112	4
0.6534825551199603	2
0.6543075393091093	6
0.6551325234982583	6
0.6559575076874073	6
0.6567824918765564	1
0.6576074760657054	9
0.6584324602548544	8
0.6592574444440034	9
0.6600824286331524	6
0.6609074128223015	9
0.6617323970114505	4
0.6625573812005995	16
0.6633823653897485	6
0.6642073495788975	10
0.6650323337680466	7
0.6658573179571956	13
0.6666823021463446	12
0.6675072863354936	13
0.6683322705246426	9
0.6691572547137916	27
0.6699822389029406	13
0.6708072230920896	18
0.6716322072812386	27
0.6724571914703877	28
0.6732821756595367	28
0.6741071598486857	34
0.6749321440378347	29
0.6757571282269837	30
0.6765821124161328	31
0.6774070966052819	48
0.6782320807944309	37
0.6790570649835799	45
0.6798820491727289	52
0.6807070333618779	38
0.6815320175510269	73
0.6823570017401759	60
0.6831819859293249	52
0.684006970118474	68
0.684831954307623	75
0.685656938496772	69
0.686481922685921	69
0.68730690687507	74
0.688131891064219	71
0.6889568752533681	89
0.6897818594425171	105
0.6906068436316661	82
0.6914318278208151	99
0.6922568120099641	126
0.6930817961991131	95
0.6939067803882621	104
0.6947317645774111	108
0.6955567487665603	127
0.6963817329557093	107
0.6972067171448583	138
0.6980317013340073	110
0.6988566855231563	123
0.6996816697123053	118
0.7005066539014544	143
0.7013316380906034	146
0.7021566222797524	145
0.7029816064689014	155
0.7038065906580504	148
0.7046315748471994	151
0.7054565590363484	148
0.7062815432254974	155
0.7071065274146464	170
0.7079315116037955	170
0.7087564957929445	194
0.7095814799820935	191
0.7104064641712425	204
0.7112314483603915	185
0.7120564325495407	191
0.7128814167386897	180
0.7137064009278387	221
0.7145313851169877	225
0.7153563693061367	237
0.7161813534952857	259
0.7170063376844347	270
0.7178313218735837	276
0.7186563060627327	259
0.7194812902518818	303
0.7203062744410308	281
0.7211312586301798	304
0.7219562428193288	318
0.7227812270084778	305
0.7236062111976269	319
0.7244311953867759	297
0.7252561795759249	383
0.7260811637650739	391
0.7269061479542229	357
0.7277311321433719	361
0.7285561163325209	390
0.7293811005216699	428
0.7302060847108189	418
0.731031068899968	449
0.731856053089117	477
0.7326810372782661	476
0.7335060214674151	519
0.7343310056565641	487
0.7351559898457132	536
0.7359809740348622	537
0.7368059582240112	607
0.7376309424131602	591
0.7384559266023092	610
0.7392809107914582	617
0.7401058949806072	631
0.7409308791697562	642
0.7417558633589052	689
0.7425808475480542	719
0.7434058317372033	767
0.7442308159263523	733
0.7450558001155013	827
0.7458807843046503	801
0.7467057684937993	803
0.7475307526829484	848
0.7483557368720974	931
0.7491807210612464	911
0.7500057052503954	987
0.7508306894395445	987
0.7516556736286935	1058
0.7524806578178425	999
0.7533056420069915	1055
0.7541306261961405	1128
0.7549556103852896	1158
0.7557805945744386	1155
0.7566055787635876	1259
0.7574305629527366	1247
0.7582555471418857	1313
0.7590805313310347	1374
0.7599055155201837	1409
0.7607304997093327	1448
0.7615554838984817	1475
0.7623804680876307	1503
0.7632054522767797	1554
0.7640304364659287	1627
0.7648554206550777	1693
0.7656804048442267	1705
0.7665053890333758	1738
0.7673303732225248	1844
0.7681553574116738	1855
0.7689803416008228	1920
0.7698053257899719	1943
0.770630309979121	2062
0.77145529416827	2048
0.772280278357419	2231
0.773105262546568	2229
0.773930246735717	2219
0.774755230924866	2344
0.775580215114015	2364
0.776405199303164	2412
0.777230183492313	2471
0.778055167681462	2504
0.7788801518706111	2478
0.7797051360597601	2634
0.7805301202489091	2719
0.7813551044380581	2752
0.7821800886272072	2739
0.7830050728163562	2994
0.7838300570055052	2968
0.7846550411946542	3015
0.7854800253838032	3149
0.7863050095729522	3254
0.7871299937621012	3340
0.7879549779512502	3320
0.7887799621403992	3423
0.7896049463295483	3471
0.7904299305186974	3638
0.7912549147078464	3618
0.7920798988969954	3813
0.7929048830861444	3910
0.7937298672752935	3994
0.7945548514644425	4021
0.7953798356535915	4111
0.7962048198427405	4311
0.7970298040318895	4375
0.7978547882210385	4457
0.7986797724101875	4643
0.7995047565993365	4666
0.8003297407884855	4815
0.8011547249776345	5022
0.8019797091667836	5092
0.8028046933559326	5311
0.8036296775450816	5261
0.8044546617342306	5335
0.8052796459233797	5671
0.8061046301125288	5582
0.8069296143016778	5823
0.8077545984908268	6070
0.8085795826799758	6059
0.8094045668691248	6314
0.8102295510582738	6335
0.8110545352474228	6645
0.8118795194365718	6797
0.8127045036257208	6910
0.8135294878148699	7177
0.8143544720040189	7351
0.8151794561931679	7490
0.8160044403823169	7772
0.8168294245714659	7933
0.817654408760615	7905
0.818479392949764	8218
0.819304377138913	8221
0.820129361328062	8420
0.820954345517211	8832
0.82177932970636	8859
0.822604313895509	9051
0.823429298084658	9356
0.824254282273807	9483
0.825079266462956	10048
0.8259042506521052	9827
0.8267292348412542	10112
0.8275542190304032	10653
0.8283792032195522	10701
0.8292041874087013	10921
0.8300291715978503	11217
0.8308541557869993	11524
0.8316791399761483	11602
0.8325041241652973	12072
0.8333291083544463	12100
0.8341540925435953	12574
0.8349790767327443	12569
0.8358040609218933	12986
0.8366290451110423	13545
0.8374540293001914	13772
0.8382790134893404	14004
0.8391039976784894	14406
0.8399289818676384	14644
0.8407539660567875	15273
0.8415789502459365	15678
0.8424039344350855	15882
0.8432289186242345	16462
0.8440539028133835	16630
0.8448788870025326	17068
0.8457038711916816	17458
0.8465288553808306	17858
0.8473538395699796	18333
0.8481788237591286	18859
0.8490038079482777	19558
0.8498287921374267	19764
0.8506537763265757	20504
0.8514787605157247	20815
0.8523037447048738	21675
0.8531287288940228	21981
0.8539537130831718	22470
0.8547786972723208	22971
0.8556036814614698	23618
0.8564286656506188	24090
0.8572536498397678	24959
0.8580786340289168	25209
0.8589036182180658	25965
0.8597286024072148	26834
0.8605535865963639	27347
0.8613785707855129	27919
0.862203554974662	28826
0.863028539163811	29695
0.8638535233529601	30191
0.8646785075421091	31170
0.8655034917312581	31559
0.8663284759204071	32441
0.8671534601095561	33242
0.8679784442987051	34635
0.8688034284878541	34803
0.8696284126770031	35921
0.8704533968661521	36819
0.8712783810553011	37526
0.8721033652444502	38626
0.8729283494335992	39792
0.8737533336227482	40545
0.8745783178118972	41547
0.8754033020010462	42854
0.8762282861901953	43979
0.8770532703793443	45349
0.8778782545684933	46423
0.8787032387576423	48082
0.8795282229467913	48899
0.8803532071359403	50230
0.8811781913250893	51640
0.8820031755142383	53461
0.8828281597033873	55123
0.8836531438925364	56294
0.8844781280816855	57735
0.8853031122708345	59165
0.8861280964599835	61356
0.8869530806491326	62437
0.8877780648382816	64678
0.8886030490274306	66429
0.8894280332165796	68628
0.8902530174057286	69967
0.8910780015948776	72559
0.8919029857840266	74543
0.8927279699731756	76554
0.8935529541623246	78318
0.8943779383514736	81391
0.8952029225406226	83264
0.8960279067297716	86003
0.8968528909189207	88876
0.8976778751080697	90366
0.8985028592972188	94124
0.8993278434863679	96768
0.9001528276755169	100377
0.9009778118646659	103601
0.9018027960538149	106532
0.9026277802429639	110135
0.9034527644321129	113274
0.9042777486212619	117385
0.9051027328104109	121044
