referrer,views_total,views_unique
Google,128,13
github.com,115,13
DuckDuckGo,6,1
hpc.dmi.unibas.ch,5,3
Bing,5,2
spheric-sph.org,3,3
link.springer.com,3,1
hpctools.readthedocs.io,1,1
