time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-21 00:00:00+00:00,9,4,2,2
2023-10-22 00:00:00+00:00,15,10,36,4
2023-10-23 00:00:00+00:00,9,8,19,3
2023-10-24 00:00:00+00:00,9,6,19,7
2023-10-25 00:00:00+00:00,20,8,184,10
2023-10-26 00:00:00+00:00,35,8,153,14
2023-10-27 00:00:00+00:00,10,7,39,4
2023-10-28 00:00:00+00:00,24,7,16,2
2023-10-29 00:00:00+00:00,15,3,9,2
2023-10-30 00:00:00+00:00,19,11,41,12
2023-10-31 00:00:00+00:00,18,7,106,9
2023-11-01 00:00:00+00:00,16,6,118,5
2023-11-02 00:00:00+00:00,7,6,69,7
2023-11-03 00:00:00+00:00,13,7,189,7
