referrer,views_total,views_unique
github.com,70,11
Google,49,9
gh.mlsub.net,7,1
pro.spec.org,3,2
hpc.dmi.unibas.ch,2,1
sph-exa.readthedocs.io,1,1
search.brave.com,1,1
linkedin.com,1,1
Bing,1,1
confluence.cscs.ch,1,1
