time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-03 00:00:00+00:00,9.0,6.0,15.0,6.0
2024-04-04 00:00:00+00:00,5.0,4.0,12.0,8.0
2024-04-05 00:00:00+00:00,16.0,6.0,11.0,5.0
2024-04-06 00:00:00+00:00,7.0,2.0,3.0,3.0
2024-04-07 00:00:00+00:00,13.0,4.0,17.0,5.0
2024-04-08 00:00:00+00:00,7.0,4.0,5.0,5.0
2024-04-09 00:00:00+00:00,4.0,3.0,5.0,3.0
2024-04-10 00:00:00+00:00,9.0,7.0,110.0,6.0
2024-04-11 00:00:00+00:00,8.0,4.0,14.0,2.0
2024-04-12 00:00:00+00:00,11.0,4.0,38.0,5.0
2024-04-13 00:00:00+00:00,4.0,3.0,5.0,4.0
2024-04-14 00:00:00+00:00,6.0,1.0,,
2024-04-15 00:00:00+00:00,14.0,8.0,104.0,7.0
2024-04-16 00:00:00+00:00,,,33.0,4.0
