time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-26 00:00:00+00:00,5,4,4.0,2.0
2024-03-27 00:00:00+00:00,4,3,12.0,3.0
2024-03-28 00:00:00+00:00,11,6,24.0,6.0
2024-03-29 00:00:00+00:00,4,3,15.0,3.0
2024-03-30 00:00:00+00:00,4,3,,
2024-03-31 00:00:00+00:00,6,4,14.0,5.0
2024-04-01 00:00:00+00:00,3,2,7.0,6.0
2024-04-02 00:00:00+00:00,4,3,61.0,8.0
2024-04-03 00:00:00+00:00,9,6,15.0,6.0
2024-04-04 00:00:00+00:00,5,4,12.0,8.0
2024-04-05 00:00:00+00:00,16,6,11.0,5.0
2024-04-06 00:00:00+00:00,7,2,3.0,3.0
2024-04-07 00:00:00+00:00,13,4,17.0,5.0
2024-04-08 00:00:00+00:00,4,3,5.0,5.0
