time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-31 00:00:00+00:00,6,4,14,5
2024-04-01 00:00:00+00:00,3,2,7,6
2024-04-02 00:00:00+00:00,4,3,61,8
2024-04-03 00:00:00+00:00,9,6,15,6
2024-04-04 00:00:00+00:00,5,4,12,8
2024-04-05 00:00:00+00:00,16,6,11,5
2024-04-06 00:00:00+00:00,7,2,3,3
2024-04-07 00:00:00+00:00,13,4,17,5
2024-04-08 00:00:00+00:00,7,4,5,5
2024-04-09 00:00:00+00:00,4,3,5,3
2024-04-10 00:00:00+00:00,9,7,110,6
2024-04-11 00:00:00+00:00,8,4,14,2
2024-04-12 00:00:00+00:00,11,4,38,5
2024-04-13 00:00:00+00:00,1,1,5,4
