time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-30 00:00:00+00:00,13,3,140,5
2023-12-01 00:00:00+00:00,6,5,27,4
2023-12-02 00:00:00+00:00,7,6,23,4
2023-12-03 00:00:00+00:00,22,7,27,4
2023-12-04 00:00:00+00:00,13,8,138,7
2023-12-05 00:00:00+00:00,6,5,29,10
2023-12-06 00:00:00+00:00,6,5,32,5
2023-12-07 00:00:00+00:00,14,6,15,6
2023-12-08 00:00:00+00:00,39,9,165,10
2023-12-09 00:00:00+00:00,24,9,3,3
2023-12-10 00:00:00+00:00,23,5,3,1
2023-12-11 00:00:00+00:00,30,10,61,4
2023-12-12 00:00:00+00:00,33,6,22,8
2023-12-13 00:00:00+00:00,17,5,17,4
