time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-16 00:00:00+00:00,6,5,75,6
2023-10-17 00:00:00+00:00,8,5,23,5
2023-10-18 00:00:00+00:00,10,4,61,9
2023-10-19 00:00:00+00:00,8,4,12,3
2023-10-20 00:00:00+00:00,20,5,214,11
2023-10-21 00:00:00+00:00,9,4,2,2
2023-10-22 00:00:00+00:00,15,10,36,4
2023-10-23 00:00:00+00:00,9,8,19,3
2023-10-24 00:00:00+00:00,9,6,19,7
2023-10-25 00:00:00+00:00,20,8,184,10
2023-10-26 00:00:00+00:00,35,8,153,14
2023-10-27 00:00:00+00:00,10,7,39,4
2023-10-28 00:00:00+00:00,24,7,16,2
2023-10-29 00:00:00+00:00,11,1,9,2
