time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-16 00:00:00+00:00,5,4,,
2024-03-17 00:00:00+00:00,5,2,4.0,3.0
2024-03-18 00:00:00+00:00,11,9,43.0,11.0
2024-03-19 00:00:00+00:00,9,5,28.0,9.0
2024-03-20 00:00:00+00:00,4,3,23.0,3.0
2024-03-21 00:00:00+00:00,6,5,5.0,3.0
2024-03-22 00:00:00+00:00,4,3,29.0,5.0
2024-03-23 00:00:00+00:00,5,4,2.0,2.0
2024-03-24 00:00:00+00:00,3,2,28.0,5.0
2024-03-25 00:00:00+00:00,13,5,41.0,7.0
2024-03-26 00:00:00+00:00,5,4,4.0,2.0
2024-03-27 00:00:00+00:00,4,3,12.0,3.0
2024-03-28 00:00:00+00:00,11,6,24.0,6.0
2024-03-29 00:00:00+00:00,1,1,15.0,3.0
