referrer,views_total,views_unique
Google,113,14
github.com,82,15
hpc.dmi.unibas.ch,60,2
Bing,9,2
gh.mlsub.net,7,1
pro.spec.org,3,2
sph-exa.readthedocs.io,1,1
confluence.cscs.ch,1,1
search.brave.com,1,1
linkedin.com,1,1
