referrer,views_total,views_unique
github.com,153,14
Google,98,12
zenodo.org,13,1
spheric-sph.org,9,1
DuckDuckGo,6,1
Bing,3,2
linkedin.com,3,2
link.springer.com,3,1
hpc.dmi.unibas.ch,1,1
