url_path,views_total,views_unique
/unibas-dmi-hpc/SPH-EXA,88,34
/unibas-dmi-hpc/SPH-EXA/pulls,36,4
/unibas-dmi-hpc/SPH-EXA/tree/develop/main/src,31,5
/unibas-dmi-hpc/SPH-EXA/pull/427,31,3
/unibas-dmi-hpc/SPH-EXA/tree/develop/main,27,6
/unibas-dmi-hpc/SPH-EXA/activity,20,1
/unibas-dmi-hpc/SPH-EXA/tree/develop/sph,16,4
/unibas-dmi-hpc/SPH-EXA/tree/github-repo-stats/unibas-dmi-hpc/SPH-EXA,14,2
/unibas-dmi-hpc/SPH-EXA/tree/develop/main/src/sphexa,12,2
/unibas-dmi-hpc/SPH-EXA/tree/develop/sph/include/sph,11,3
