referrer,views_total,views_unique
Google,106,12
github.com,94,13
Bing,9,2
gh.mlsub.net,7,1
pro.spec.org,3,2
l.messenger.com,3,1
hpc.dmi.unibas.ch,2,1
confluence.cscs.ch,1,1
sph-exa.readthedocs.io,1,1
search.brave.com,1,1
