referrer,views_total,views_unique
Google,134,18
astro.paperswithcode.com,38,2
github.com,31,7
statics.teams.cdn.office.net,13,1
mail.google.com,8,1
hpc.dmi.unibas.ch,2,2
Bing,2,2
linkedin.com,1,1
