referrer,views_total,views_unique
Google,182,15
github.com,38,13
sph-exa.readthedocs.io,8,1
Bing,3,2
statics.teams.cdn.office.net,2,1
docs.google.com,1,1
cn.bing.com,1,1
spec.org,1,1
