time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-16 00:00:00+00:00,6,5,65.0,8.0
2024-02-17 00:00:00+00:00,10,6,8.0,4.0
2024-02-18 00:00:00+00:00,7,4,1.0,1.0
2024-02-19 00:00:00+00:00,27,9,47.0,3.0
2024-02-20 00:00:00+00:00,16,9,199.0,9.0
2024-02-21 00:00:00+00:00,10,9,15.0,8.0
2024-02-22 00:00:00+00:00,8,6,49.0,5.0
2024-02-23 00:00:00+00:00,7,6,,
2024-02-24 00:00:00+00:00,8,5,,
2024-02-25 00:00:00+00:00,13,7,25.0,6.0
2024-02-26 00:00:00+00:00,25,6,79.0,3.0
2024-02-27 00:00:00+00:00,22,4,75.0,9.0
2024-02-28 00:00:00+00:00,23,4,39.0,14.0
2024-02-29 00:00:00+00:00,7,5,50.0,6.0
