referrer,views_total,views_unique
Google,126,15
hpc.dmi.unibas.ch,60,2
github.com,59,12
Bing,12,3
gh.mlsub.net,7,1
pro.spec.org,3,2
arxiv.org,1,1
sph-exa.readthedocs.io,1,1
search.brave.com,1,1
linkedin.com,1,1
