time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-21 00:00:00+00:00,5,4,24,1
2024-01-22 00:00:00+00:00,21,7,32,4
2024-01-23 00:00:00+00:00,6,5,61,8
2024-01-24 00:00:00+00:00,5,4,24,12
2024-01-25 00:00:00+00:00,6,5,132,9
2024-01-26 00:00:00+00:00,7,6,22,7
2024-01-27 00:00:00+00:00,17,5,35,1
2024-01-28 00:00:00+00:00,17,5,11,1
2024-01-29 00:00:00+00:00,12,6,19,8
2024-01-30 00:00:00+00:00,9,5,124,7
2024-01-31 00:00:00+00:00,4,3,12,6
2024-02-01 00:00:00+00:00,17,5,62,8
2024-02-02 00:00:00+00:00,10,7,33,6
2024-02-03 00:00:00+00:00,1,1,5,4
