time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-19 00:00:00+00:00,9.0,5.0,28.0,9.0
2024-03-20 00:00:00+00:00,4.0,3.0,23.0,3.0
2024-03-21 00:00:00+00:00,6.0,5.0,5.0,3.0
2024-03-22 00:00:00+00:00,4.0,3.0,29.0,5.0
2024-03-23 00:00:00+00:00,5.0,4.0,2.0,2.0
2024-03-24 00:00:00+00:00,3.0,2.0,28.0,5.0
2024-03-25 00:00:00+00:00,13.0,5.0,41.0,7.0
2024-03-26 00:00:00+00:00,5.0,4.0,4.0,2.0
2024-03-27 00:00:00+00:00,4.0,3.0,12.0,3.0
2024-03-28 00:00:00+00:00,11.0,6.0,24.0,6.0
2024-03-29 00:00:00+00:00,4.0,3.0,15.0,3.0
2024-03-30 00:00:00+00:00,4.0,3.0,,
2024-03-31 00:00:00+00:00,6.0,4.0,14.0,5.0
2024-04-01 00:00:00+00:00,,,7.0,6.0
