referrer,views_total,views_unique
Google,219,19
github.com,98,14
astro.paperswithcode.com,37,1
Bing,19,3
qwant.com,10,1
mail.google.com,8,1
com.linkedin.android,8,1
DuckDuckGo,2,1
hpc.dmi.unibas.ch,1,1
