time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-10 00:00:00+00:00,5,4,6.0,2.0
2024-03-11 00:00:00+00:00,5,4,69.0,9.0
2024-03-12 00:00:00+00:00,30,6,93.0,15.0
2024-03-13 00:00:00+00:00,7,4,24.0,9.0
2024-03-14 00:00:00+00:00,4,3,89.0,11.0
2024-03-15 00:00:00+00:00,13,8,43.0,7.0
2024-03-16 00:00:00+00:00,5,4,,
2024-03-17 00:00:00+00:00,5,2,4.0,3.0
2024-03-18 00:00:00+00:00,11,9,43.0,11.0
2024-03-19 00:00:00+00:00,9,5,28.0,9.0
2024-03-20 00:00:00+00:00,4,3,23.0,3.0
2024-03-21 00:00:00+00:00,6,5,5.0,3.0
2024-03-22 00:00:00+00:00,4,3,29.0,5.0
2024-03-23 00:00:00+00:00,2,2,2.0,2.0
