time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-27 00:00:00+00:00,22,4,75,9
2024-02-28 00:00:00+00:00,23,4,39,14
2024-02-29 00:00:00+00:00,11,6,53,7
2024-03-01 00:00:00+00:00,24,4,22,5
2024-03-02 00:00:00+00:00,7,6,1,1
2024-03-03 00:00:00+00:00,9,5,9,2
2024-03-04 00:00:00+00:00,15,8,12,5
2024-03-05 00:00:00+00:00,22,7,33,5
2024-03-06 00:00:00+00:00,48,7,87,11
2024-03-07 00:00:00+00:00,15,6,121,9
2024-03-08 00:00:00+00:00,7,6,17,3
2024-03-09 00:00:00+00:00,5,3,7,1
2024-03-10 00:00:00+00:00,5,4,6,2
2024-03-11 00:00:00+00:00,1,1,59,9
