referrer,views_total,views_unique
github.com,98,14
Google,76,11
Bing,9,2
gh.mlsub.net,7,1
l.messenger.com,3,1
hpc.dmi.unibas.ch,2,1
sph-exa.readthedocs.io,1,1
search.brave.com,1,1
linkedin.com,1,1
confluence.cscs.ch,1,1
