time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-12 00:00:00+00:00,16,7,3.0,2.0
2024-01-13 00:00:00+00:00,18,7,25.0,3.0
2024-01-14 00:00:00+00:00,20,7,73.0,2.0
2024-01-15 00:00:00+00:00,13,10,232.0,10.0
2024-01-16 00:00:00+00:00,30,7,45.0,5.0
2024-01-17 00:00:00+00:00,4,3,56.0,5.0
2024-01-18 00:00:00+00:00,47,8,13.0,5.0
2024-01-19 00:00:00+00:00,9,5,155.0,11.0
2024-01-20 00:00:00+00:00,4,3,,
2024-01-21 00:00:00+00:00,5,4,24.0,1.0
2024-01-22 00:00:00+00:00,21,7,32.0,4.0
2024-01-23 00:00:00+00:00,6,5,61.0,8.0
2024-01-24 00:00:00+00:00,5,4,24.0,12.0
2024-01-25 00:00:00+00:00,2,2,132.0,9.0
