time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-27 00:00:00+00:00,10.0,7.0,39,4
2023-10-28 00:00:00+00:00,24.0,7.0,16,2
2023-10-29 00:00:00+00:00,15.0,3.0,9,2
2023-10-30 00:00:00+00:00,19.0,11.0,41,12
2023-10-31 00:00:00+00:00,18.0,7.0,106,9
2023-11-01 00:00:00+00:00,16.0,6.0,118,5
2023-11-02 00:00:00+00:00,7.0,6.0,69,7
2023-11-03 00:00:00+00:00,17.0,9.0,189,7
2023-11-04 00:00:00+00:00,14.0,6.0,8,2
2023-11-05 00:00:00+00:00,9.0,5.0,8,4
2023-11-06 00:00:00+00:00,23.0,7.0,60,5
2023-11-07 00:00:00+00:00,22.0,5.0,55,9
2023-11-08 00:00:00+00:00,17.0,6.0,7,4
2023-11-09 00:00:00+00:00,,,104,7
