time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-20 00:00:00+00:00,8,7,24,4
2023-11-21 00:00:00+00:00,26,6,77,9
2023-11-22 00:00:00+00:00,7,3,92,9
2023-11-23 00:00:00+00:00,25,9,52,7
2023-11-24 00:00:00+00:00,6,5,163,3
2023-11-25 00:00:00+00:00,8,5,1,1
2023-11-26 00:00:00+00:00,15,4,1,1
2023-11-27 00:00:00+00:00,21,8,36,7
2023-11-28 00:00:00+00:00,75,5,78,6
2023-11-29 00:00:00+00:00,9,7,72,8
2023-11-30 00:00:00+00:00,13,3,140,5
2023-12-01 00:00:00+00:00,6,5,27,4
2023-12-02 00:00:00+00:00,7,6,23,4
2023-12-03 00:00:00+00:00,19,6,27,4
